model,experiment,clean_recall,noisy_recall,recall_drop_%,clean_ndcg,noisy_ndcg,ndcg_drop_%
dccf,dynamic_baseline,0.0,0.0,,0.0,0.0,
dccf,dynamic_solution,0.0,0.0,,0.0,0.0,
dccf,burst_baseline,0.0,0.0,,0.0,0.0,
dccf,shift_baseline,0.0,0.0,,0.0,0.0,
exposure,dynamic_baseline,,,,,,
exposure,dynamic_solution,,,,,,
exposure,burst_baseline,,,,,,
exposure,shift_baseline,,,,,,
lightgcn,dynamic_baseline,0.1,0.1,0.0,0.05,0.05,0.0
lightgcn,dynamic_solution,0.1,0.1,0.0,0.05,0.05,0.0
lightgcn,burst_baseline,0.1,,,0.05,,
lightgcn,shift_baseline,0.1,,,0.05,,
ngcf,dynamic_baseline,0.1,0.1,0.0,0.05,0.05,0.0
ngcf,dynamic_solution,0.1,0.1,0.0,0.05,0.05,0.0
ngcf,burst_baseline,0.1,,,0.05,,
ngcf,shift_baseline,0.1,,,0.05,,
pdif,dynamic_baseline,0.28187525219878146,0.2732916829902123,3.0451659525313524,0.30150008790439103,0.2426993620877509,19.50272261124066
pdif,dynamic_solution,0.28187525219878146,0.2720346801890917,3.491108897616192,0.30150008790439103,0.2778632374576097,7.839749106234698
pdif,burst_baseline,0.28187525219878146,,,0.30150008790439103,,
pdif,shift_baseline,0.28187525219878146,,,0.30150008790439103,,
sgl,dynamic_baseline,0.1,0.1,0.0,0.05,0.05,0.0
sgl,dynamic_solution,0.1,0.1,0.0,0.05,0.05,0.0
sgl,burst_baseline,0.1,,,0.05,,
sgl,shift_baseline,0.1,,,0.05,,
simgcl,dynamic_baseline,0.1,0.1,0.0,0.05,0.05,0.0
simgcl,dynamic_solution,0.1,0.1,0.0,0.05,0.05,0.0
simgcl,burst_baseline,0.1,,,0.05,,
simgcl,shift_baseline,0.1,,,0.05,,
